plant_id,region,date,treatment,height,diameter,n_stems,date_regrowth,regrowth,x_proj,y_proj
hs_001,Houtsaegerduinen,2013-05-22,Stub,100,60,1,2014-05-14,Limited,26012.32,200619.59
hs_002,Houtsaegerduinen,2013-05-22,Leaf,80,50,11,2014-05-14,Dead,26029.09,200602.04
hs_003,Houtsaegerduinen,2013-05-22,Dig,30,20,2,2014-05-14,Limited,26031.1,200590.41
hs_004,Houtsaegerduinen,2013-05-22,Salt,100,150,17,2014-05-14,,26047.11,200642.55
hs_005,Houtsaegerduinen,2013-05-22,Dig,20,60,20,2014-05-14,Vital,26028.74,200658.49
hs_006,Houtsaegerduinen,2013-05-22,Leaf,40,20,6,2014-05-14,Dead,26034.76,200682.38
hs_100,Houtsaegerduinen,2013-05-22,Stub,35,40,10,2014-05-14,,26064.34,200605.06
hs_101,Houtsaegerduinen,2013-05-22,Dig,40,50,6,2014-05-14,Vital,26074.74,200630.71
hs_102,Houtsaegerduinen,2013-05-22,Leaf,25,50,15,2014-05-14,Dead,26074.76,200618.08
hs_103,Houtsaegerduinen,2013-05-22,Salt,50,50,46,2014-05-14,Vital,26112.48,200631.22
hs_104,Houtsaegerduinen,2013-05-22,Dig,20,40,24,2014-05-14,Vital,26097.77,200650.74
hs_105,Houtsaegerduinen,2013-05-22,Leaf,50,60,16,2014-05-14,Vital,26099.35,200681.41
hs_106,Houtsaegerduinen,2013-05-22,Stub,40,120,56,2014-05-14,Vital,26081.09,200670.2
hs_107,Houtsaegerduinen,2013-05-22,Dig,100,10,10,2014-05-14,Vital,26141.76,200644
hs_108,Houtsaegerduinen,2013-05-22,Leaf,15,60,37,2014-05-14,Vital,26113.92,200645.85
hs_109,Houtsaegerduinen,2013-05-22,Salt,50,30,12,2014-05-14,Vital,26150.33,200739.19
hs_110,Houtsaegerduinen,2013-05-22,Dig,20,50,45,2014-05-14,Limited,26152.18,200733.75
hs_111,Houtsaegerduinen,2013-05-22,Leaf,40,35,7,2014-05-14,Dead,26168.83,200705.19
hs_112,Houtsaegerduinen,2013-05-22,Salt,50,40,7,2014-05-14,Vital,26183.55,200701.34
hs_113,Houtsaegerduinen,2013-05-22,Stub,100,50,9,2014-05-14,Vital,26172.68,200682.33
hs_114,Houtsaegerduinen,2013-04-23,Leaf,20,65,42,2014-05-14,Dead,26177.68,200672.19
hs_115,Houtsaegerduinen,2013-04-23,Salt,60,40,4,2014-05-14,Vital,26261.2,200695.46
hs_116,Houtsaegerduinen,2013-04-23,Dig,10,20,6,2014-05-14,Dead,26277.74,200679.33
hs_117,Houtsaegerduinen,2013-04-23,Salt,20,50,30,2014-05-14,Vital,26284.46,200688.97
hs_118,Houtsaegerduinen,2013-04-23,Stub,30,35,6,2014-05-14,Dead,26271.13,200693.4
hs_119,Houtsaegerduinen,2013-04-23,Stub,35,55,23,2014-05-14,Vital,26305.13,200660.19
nd_001,Noordduinen,2013-04-23,Salt,30,20,2,2014-05-15,,28435.51,201082.74
nd_002,Noordduinen,2013-04-23,Dig,10,50,10,2014-05-15,Vital,28439.18,201123.45
