ID,age,sex,group size,mass,DEE,season,disease,,,,,,,,
12F,cub,F ,14,3.2,1389,Summer,N,,,,,,,,
13F,cub,F ,14,3.3,2534,Summer,N,,,,,,,,
14P,adult,M,5,8.9,3156,Winter,N,,,,,,,,
15P,adult,M,7,8.7,3040,Summer,N,,,,,,,,
15P,adult,M,7,8.9,2812,Winter,N,,,,,,,,
18B,adult,F ,14,6.4,1643,Summer,N,,,,,,,,
18N,adult,M,13,8.9,3169,Autumn,D,,,,,,,,
20F,cub,M,14,3.7,2572,Summer,N,,,,,,,,
20F,adult,M,13,9.9,2301,Winter,N,,,,,,,,
21E,adult,M,6,8.0,3820,Summer,D,,,,,,,,
21E,adult,M,6,8.5,4895,Winter,N,,,,,,,,
21L,adult,M,9,7.8,3485,Summer,N,,,,,,,,
21L,adult,M,7,7.5,3037,Summer,N,,,,,,,,
21V,adult,M,10,8.6,2770,Summer,D,,,,,,,,
22E,adult,M,6,7.6,3659,Summer,D,,,,,,,,
22L,adult,F ,8,8.6,1533,Winter,N,,,,,,,,
23N,adult,F ,5,6.6,3015,Winter,E,,,,,,,,
27E,adult,F ,6,7.0,2902,Summer,D,,,,,,,,
27K,cub,F ,13,3.4,2265,Summer,N,,,,,,,,
27N,adult,M,5,7.2,2079,Winter,N,,,,,,,,
28F,adult,M,6,9.5,3941,Winter,D,,,,,,,,
29N,adult,M,9,10.8,2687,Winter,D,,,,,,,,
29N,adult,M,9,9.4,2520,Winter,D,,,,,,,,
30L,cub,M,12,5.6,1308,Winter,N,,,,,,,,
30L,adult,M,13,6.9,2010,Autumn,N,,,,,,,,
30N,adult,M,14,6.2,4380,Summer,N,,,,,,,,
31L,cub,M,12,6.8,1221,Winter,N,,,,,,,,
31L,adult,M,13,7.2,2552,Autumn,D,,,,,,,,
32K,cub,F ,13,3.2,2243,Summer,N,,,,,,,,
32L,cub,F ,12,6.5,979,Winter,N,,,,,,,,
33L,adult,M,8,9.1,1973,Winter,N,,,,,,,,
33L,adult,M,8,7.6,3389,Summer,N,,,,,,,,
33N,adult,M,5,7.0,1597,Winter,E,,,,,,,,
35L,adult,F ,8,8.2,3974,Summer,D,,,,,,,,
35N,adult,M,8,8.0,2290,Summer,D,,,,,,,,
35P,adult,F ,14,7.5,3064,Summer,N,,,,,,,,
36E,adult,M,9,7.2,3728,Summer,N,,,,,,,,
37K,cub,M,13,3.5,2195,Summer,D,,,,,,,,
38A,adult,M,6,11.5,3388,Summer,N,,,,,,,,
40L,cub,M,12,7.1,638,Winter,N,,,,,,,,
40L,adult,M,13,7.0,2494,Autumn,D,,,,,,,,
41L,adult,M,13,7.6,3230,Autumn,N,,,,,,,,
43P,adult,F ,14,7.0,2132,Summer,N,,,,,,,,
43W,adult,M,13,8.2,2414,Autumn,E,,,,,,,,
44P,adult,M,14,7.0,4300,Summer,N,,,,,,,,
53K,adult,M,4,8.6,3456,Summer,D,,,,,,,,
53K,adult,M,9,9.2,1299,Winter,N,,,,,,,,
54A,adult,F ,5,6.3,2076,Summer,D,,,,,,,,
54K,adult,M,9,8.5,1779,Winter,N,,,,,,,,
54K,adult,M,8,8.2,3444,Summer,D,,,,,,,,
61Y,adult,F ,14,6.2,2144,Summer,N,,,,,,,,
64P,adult,M,14,8.0,897,Summer,N,,,,,,,,
82W,adult,F ,8,8.6,4725,Autumn,D,,,,,,,,
9P,adult,M,5,8.7,2594,Winter,N,,,,,,,,
I8,adult,F ,8,9.0,4125,Autumn,E,,,,,,,,
