a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
1,2002,2,0.301,261,167,237,20.08.04,14.04.05,,,2004,m,medium,11,yes
1,2002,4,0.6021,265,227,335,23.05.06,23.04.07,10.05.06,215,2006,m,medium,11,no
1,2002,5,0.699,315,182,264,26.07.07,15.04.08,23.04.07,227,2007,m,high fat,11,yes
1,2002,6,0.7782,318,173,357,07.05.08,29.04.09,15.04.08,182,2008,m,medium,11,no
1,2002,7,0.8451,264,189,335,27.05.09,27.04.10,29.04.09,173,2009,m,protein,11,no
1,2002,8,0.9031,190,135,181,21.09.10,21.03.11,27.04.10,189,2010,m,high fat,11,yes
1,2002,9,0.9542,300,208,146,09.11.11,03.04.12,21.03.11,135,2011,m,high fat,11,yes
1,2002,10,1,227,155,260,31.07.12,17.04.13,03.04.12,208,2012,m,medium,11,yes
2,2003,1,0,224,120,178,24.09.04,21.03.05,,,2004,m,medium,4,yes
2,2003,2,0.301,259,160,265,24.08.05,16.05.06,21.03.05,120,2005,m,medium,4,no
2,2003,3,0.4771,238,174,225,10.10.06,23.05.07,16.05.06,160,2006,m,medium,4,no
3,2003,1,0,184,104,320,16.07.04,01.06.05,,,2004,m,medium,9,yes
3,2003,2,0.301,181,120,243,24.08.05,24.04.06,01.06.05,104,2005,m,medium,9,yes
3,2003,3,0.4771,241,139,225,06.09.06,19.04.07,24.04.06,120,2006,m,medium,9,yes
3,2003,4,0.6021,222,108,271,19.07.07,15.04.08,19.04.07,139,2007,m,high fat,9,yes
3,2003,5,0.699,229,149,357,07.05.08,29.04.09,15.04.08,108,2008,m,medium,9,no
3,2003,6,0.7782,147,120,202,07.10.09,27.04.10,29.04.09,149,2009,m,protein,9,no
3,2003,7,0.8451,195,126,252,25.08.10,04.05.11,27.04.10,120,2010,m,high fat,9,yes
3,2003,8,0.9031,191,124,286,13.07.11,24.04.12,04.05.11,126,2011,m,protein,9,yes
4,2003,1,0,191,126,278,27.08.04,01.06.05,,,2004,m,medium,4,yes
4,2003,2,0.301,201,155,244,14.09.05,16.05.06,01.06.05,126,2005,m,medium,4,no
4,2003,3,0.4771,228,173,239,12.09.06,09.05.07,16.05.06,155,2006,m,medium,4,yes
5,2003,1,0,206,177,263,27.08.04,17.05.05,,,2004,m,medium,7,yes
5,2003,2,0.301,174,126,243,24.08.05,24.04.06,17.05.05,177,2005,m,medium,7,yes
5,2003,3,0.4771,267,226,239,19.09.06,16.05.07,24.04.06,126,2006,m,medium,7,yes
5,2003,4,0.6021,286,181,306,26.07.07,27.05.08,16.05.07,226,2007,m,high fat,7,yes
5,2003,5,0.699,241,165,303,30.06.08,29.04.09,27.05.08,181,2008,m,medium,7,yes
6,2003,1,0,157,98,209,17.09.04,14.04.05,,,2004,m,medium,2,yes
7,2003,1,0,205,142,258,17.09.04,02.06.05,,,2004,m,medium,3,yes
7,2003,2,0.301,195,114,251,24.08.05,02.05.06,02.06.05,142,2005,m,medium,3,no
8,2003,1,0,226,184,241,24.09.04,23.05.05,,,2004,m,medium,5,yes
8,2003,2,0.301,234,165,222,07.09.05,17.04.06,23.05.05,184,2005,m,medium,5,yes
8,2003,3,0.4771,281,193,209,26.09.06,23.04.07,17.04.06,165,2006,m,medium,5,yes
8,2003,4,0.6021,233,143,194,04.10.07,15.04.08,23.04.07,193,2007,m,medium,5,yes
9,2003,1,0,201,130,278,27.08.04,01.06.05,,,2004,m,medium,9,yes
9,2003,2,0.301,203,154,245,17.08.05,19.04.06,01.06.05,130,2005,m,medium,9,yes
9,2003,3,0.4771,236,179,275,29.08.06,31.05.07,19.04.06,154,2006,m,medium,9,yes
9,2003,4,0.6021,189,142,241,31.08.07,28.04.08,31.05.07,179,2007,m,high fat,9,yes
9,2003,5,0.699,207,158,324,09.06.08,29.04.09,28.04.08,142,2008,m,medium,9,no
9,2003,7,0.8451,215,164,246,14.09.10,18.05.11,13.04.09,158,2010,m,high fat,9,yes
9,2003,8,0.9031,217,148,240,13.07.11,09.03.12,18.05.11,164,2011,m,protein,9,yes
10,2003,2,0.301,165,134,286,24.08.05,06.06.06,23.05.05,112,2005,m,medium,4,no
11,2004,2,0.301,221,163,198,03.10.06,19.04.07,30.05.06,163,2006,m,medium,4,yes
12,2004,1,0,211,145,265,24.08.05,16.05.06,01.06.05,131,2005,m,medium,4,no
12,2004,2,0.301,251,191,211,10.10.06,09.05.07,16.05.06,145,2006,m,medium,4,yes
12,2004,3,0.4771,195,168,222,06.09.07,15.04.08,09.05.07,191,2007,m,high fat,4,yes
13,2004,2,0.301,181,109,317,23.05.06,05.04.07,23.05.06,181,2006,m,medium,4,no
13,2004,3,0.4771,216,158,223,10.10.07,20.05.08,05.04.07,109,2007,m,medium,4,no
14,2004,2,0.301,196,146,279,07.09.05,13.06.06,30.05.05,88,2005,m,medium,6,no
14,2004,3,0.4771,247,185,209,26.09.06,23.04.07,13.06.06,146,2006,m,medium,6,yes
14,2004,5,0.699,196,98,278,27.05.09,01.03.10,29.04.09,185,2009,m,protein,6,no
15,2004,3,0.4771,230,145,222,06.09.07,15.04.08,24.05.07,179,2007,m,medium,6,yes
15,2004,4,0.6021,252,191,344,27.05.08,06.05.09,15.04.08,145,2008,m,medium,6,no
15,2004,5,0.699,247,161,173,09.09.09,01.03.10,06.05.09,191,2009,m,high fat,6,yes
16,2004,1,0,206,167,293,24.08.05,13.06.06,06.05.05,112,2005,m,medium,4,no
16,2004,3,0.4771,250,156,245,27.08.07,28.04.08,09.05.07,213,2007,m,high fat,4,no
17,2004,4,0.6021,230,156,310,30.06.08,06.05.09,07.05.08,167,2008,m,medium,12,yes
17,2004,5,0.699,224,122,342,20.05.09,27.04.10,06.05.09,156,2009,m,protein,12,no
17,2004,6,0.7782,224,150,253,31.08.10,11.05.11,27.04.10,122,2010,m,high fat,12,yes
17,2004,7,0.8451,245,172,215,27.10.11,29.05.12,11.05.11,150,2011,m,medium,12,yes
17,2004,8,0.9031,243,159,266,14.08.12,07.05.13,29.05.12,172,2012,m,medium,12,yes
17,2004,9,0.9542,200,147,204,28.07.13,17.03.14,07.05.13,159,2013,m,medium,12,yes
17,2004,10,1,191,141,195,24.09.14,07.04.15,17.03.14,147,2014,m,high fat,12,yes
