Animal_Id,Sex,Age,Distance,Precipitation,Snow_cover,Snow_age,Temperature
Female1,Female,Subadult,739.95,Clear,No,No_snow,20.67
Female1,Female,Subadult,1572.57,Clear,No,No_snow,15.32
Female1,Female,Subadult,263.81,Clear,No,No_snow,15.15
Female1,Female,Subadult,417.72,Clear,No,No_snow,13.70
Female1,Female,Subadult,383.78,Clear,Yes,Old,17.19
Female1,Female,Subadult,167.59,Clear,No,No_snow,17.52
Female1,Female,Subadult,404.79,Clear,No,No_snow,15.08
Female1,Female,Subadult,826.93,Clear,No,No_snow,15.84
Female1,Female,Subadult,439.14,Clear,Yes,Old,16.17
Female1,Female,Subadult,204.26,Clear,No,No_snow,17.75
Female1,Female,Subadult,200.72,Clear,No,No_snow,17.19
Female1,Female,Subadult,1076.60,Clear,No,No_snow,16.95
Female1,Female,Subadult,440.21,Clear,No,No_snow,16.72
Female1,Female,Subadult,621.76,Snowfall,Yes,Fresh,12.25
Female1,Female,Subadult,165.07,Clear,Yes,Old,15.58
Female1,Female,Subadult,304.73,Clear,Yes,Old,13.61
Female1,Female,Subadult,126.77,Rainfall,Yes,Old,21.50
Female1,Female,Subadult,129.71,Rainfall,Yes,Old,12.64
Female1,Female,Subadult,290.41,Rainfall,No,No_snow,25.50
Female1,Female,Subadult,252.54,Rainfall,No,No_snow,19.25
Female1,Female,Subadult,241.93,Rainfall,No,No_snow,23.67
Female1,Female,Subadult,129.09,Rainfall,No,No_snow,19.44
Female1,Female,Subadult,1437.66,Rainfall,No,No_snow,15.42
Female1,Female,Subadult,187.27,Rainfall,No,No_snow,19.33
Female1,Female,Subadult,115.78,Rainfall,No,No_snow,17.53
Female2,Female,Adult,536.96,Clear,No,No_snow,16.61
Female2,Female,Adult,964.01,Clear,No,No_snow,19.52
Female2,Female,Adult,929.13,Clear,No,No_snow,20.67
Female2,Female,Adult,653.63,Clear,No,No_snow,15.32
Female2,Female,Adult,651.47,Clear,No,No_snow,15.15
Female2,Female,Adult,883.82,Clear,No,No_snow,14.89
Female2,Female,Adult,733.90,Clear,No,No_snow,13.70
Female2,Female,Adult,816.31,Snowfall,Yes,Fresh,11.88
Female2,Female,Adult,440.45,Clear,Yes,Old,17.19
Female2,Female,Adult,1041.99,Clear,Yes,Old,14.91
Female2,Female,Adult,881.21,Clear,Yes,Old,13.22
Female2,Female,Adult,458.50,Clear,Yes,Old,16.61
Female2,Female,Adult,361.62,Clear,No,No_snow,18.89
Female2,Female,Adult,985.23,Clear,No,No_snow,14.83
Female2,Female,Adult,956.44,Clear,No,No_snow,12.10
Female2,Female,Adult,475.89,Clear,No,No_snow,16.12
Female2,Female,Adult,719.03,Clear,No,No_snow,19.04
Female2,Female,Adult,1379.98,Clear,No,No_snow,17.52
Female2,Female,Adult,1046.43,Clear,No,No_snow,15.08
Female2,Female,Adult,734.59,Clear,No,No_snow,15.84
Female2,Female,Adult,579.84,Clear,No,No_snow,14.83
Female2,Female,Adult,1637.92,Clear,No,No_snow,20.08
Female2,Female,Adult,930.84,Snowfall,Yes,Fresh,14.28
Female2,Female,Adult,1004.60,Snowfall,Yes,Fresh,15.05
Female2,Female,Adult,638.66,Clear,Yes,Old,12.88
Female2,Female,Adult,968.65,Clear,Yes,Old,18.64
Female2,Female,Adult,875.92,Clear,Yes,Old,13.97
Female2,Female,Adult,1043.77,Snowfall,Yes,Fresh,9.75
Female2,Female,Adult,953.71,Clear,Yes,Old,15.48
Female2,Female,Adult,1384.27,Clear,Yes,Old,16.29
Female2,Female,Adult,818.03,Clear,Yes,Old,13.39
Female2,Female,Adult,690.52,Clear,Yes,Old,13.63
Female2,Female,Adult,844.40,Clear,Yes,Old,15.40
Female2,Female,Adult,1336.88,Clear,Yes,Old,15.75
Female2,Female,Adult,1330.31,Clear,Yes,Old,16.76
Female2,Female,Adult,666.45,Rainfall,No,No_snow,6.75
Female2,Female,Adult,626.30,Rainfall,No,No_snow,14.96
Female2,Female,Adult,1297.21,Rainfall,No,No_snow,13.73
Female2,Female,Adult,592.40,Clear,Yes,Old,16.11
Female2,Female,Adult,642.86,Clear,Yes,Old,15.17
Female3,Female,Subadult,912.55,Clear,No,No_snow,16.61
Female3,Female,Subadult,287.73,Clear,No,No_snow,14.89
Female3,Female,Subadult,444.40,Clear,No,No_snow,13.70
Female3,Female,Subadult,576.57,Snowfall,Yes,Fresh,11.88
Female3,Female,Subadult,183.73,Clear,Yes,Old,16.61
Female3,Female,Subadult,459.72,Clear,Yes,Old,16.76
Female3,Female,Subadult,928.72,Rainfall,No,No_snow,12.38
Female3,Female,Subadult,128.53,Clear,Yes,Old,17.19
Female3,Female,Subadult,243.91,Clear,Yes,Old,17.25
Female3,Female,Subadult,311.65,Clear,Yes,Old,14.45
Female3,Female,Subadult,961.66,Clear,Yes,Old,23.00
Female3,Female,Subadult,264.36,Clear,Yes,Old,16.95
Female3,Female,Subadult,1432.96,Clear,Yes,Old,16.72
Female3,Female,Subadult,516.57,Rainfall,No,No_snow,15.42
Female3,Female,Subadult,480.07,Rainfall,No,No_snow,19.33
Female3,Female,Subadult,621.04,Rainfall,No,No_snow,17.53
Female4,Female,Adult,367.37,Clear,No,No_snow,14.83
Female4,Female,Adult,363.23,Clear,No,No_snow,12.10
Female4,Female,Adult,154.84,Rainfall,Yes,Old,19.58
Female4,Female,Adult,190.42,Clear,No,No_snow,17.25
Female4,Female,Adult,1357.30,Clear,No,No_snow,14.45
Female4,Female,Adult,371.55,Clear,No,No_snow,23.00
Female4,Female,Adult,672.38,Clear,No,No_snow,16.95
