PlaybackTrialRecording,Date,PlaybackStage,Start,End,BottomFreq,TopFreq,Bandwidth,SongDuration,MeanFreq,Habitat,Site,MaleID,StimulusID,DOY,TimeOfDay,Noise_SPL_LAeq
EcoFazUVV_03.12.18_MZ093.wav,03/12/2018,Playback,222.14,223.90,1.87,6.79,4.92,1.76,4.41,Rural,Eco Fazenda UVV,EF01,S13,336,9.12,61.62
EcoFazUVV_03.12.18_MZ093.wav,03/12/2018,Playback,255.91,257.54,1.60,7.51,5.91,1.63,5.03,Rural,Eco Fazenda UVV,EF01,S13,336,9.12,61.62
EcoFazUVV_07.12.18_MZ111.wav,07/12/2018,Playback,142.37,144.26,1.42,5.66,4.24,1.89,2.74,Rural,Eco Fazenda UVV,EF05,S14,340,9.77,52.60
EcoFazUVV_07.12.18_MZ111.wav,07/12/2018,Playback,178.87,181.15,1.51,6.43,4.92,2.28,3.72,Rural,Eco Fazenda UVV,EF05,S14,340,9.77,52.60
EcoFazUVV_07.12.18_MZ111.wav,07/12/2018,Playback,73.36,74.88,1.47,6.29,4.83,1.52,2.92,Rural,Eco Fazenda UVV,EF05,S14,340,9.77,52.60
EcoFazUVV_07.12.18_MZ112.wav,07/12/2018,Playback,100.50,102.88,1.11,7.28,6.18,2.38,4.18,Rural,Eco Fazenda UVV,EF12,S1,340,10.68,54.59
EcoFazUVV_07.12.18_MZ119.wav,07/12/2018,Playback,146.22,147.59,1.83,5.21,3.38,1.37,3.41,Rural,Eco Fazenda UVV,EF10,S11,340,14.78,58.47
EcoFazUVV_07.12.18_MZ119.wav,07/12/2018,Playback,155.94,157.81,1.92,6.38,4.46,1.87,3.89,Rural,Eco Fazenda UVV,EF10,S11,340,14.78,58.47
EcoFazUVV_12.11.18_MZ006.wav,12/11/2018,Playback,125.91,128.05,1.38,6.34,4.96,2.14,3.96,Rural,Eco Fazenda UVV,EF15,S2,315,14.95,52.34
EcoFazUVV_12.11.18_MZ006.wav,12/11/2018,Playback,200.75,202.82,1.65,6.34,4.69,2.07,3.88,Rural,Eco Fazenda UVV,EF15,S2,315,14.95,52.34
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Playback,165.93,168.18,1.92,7.64,5.73,2.24,4.48,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Playback,177.14,179.48,1.92,7.87,5.95,2.34,4.77,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Playback,185.43,187.17,1.87,7.01,5.14,1.74,4.07,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_03.12.18_MZ093.wav,03/12/2018,Post-playback,297.67,299.57,1.78,7.06,5.28,1.90,4.35,Rural,Eco Fazenda UVV,EF01,S13,336,9.12,61.62
EcoFazUVV_07.12.18_MZ114.wav,07/12/2018,Post-playback,336.91,339.08,1.83,5.39,3.56,2.17,3.73,Rural,Eco Fazenda UVV,EF03,S13,340,11.25,50.16
EcoFazUVV_07.12.18_MZ114.wav,07/12/2018,Post-playback,342.93,345.05,1.83,5.44,3.61,2.12,3.81,Rural,Eco Fazenda UVV,EF03,S13,340,11.25,50.16
EcoFazUVV_07.12.18_MZ114.wav,07/12/2018,Post-playback,351.41,353.30,1.74,5.03,3.29,1.89,3.79,Rural,Eco Fazenda UVV,EF03,S13,340,11.25,50.16
EcoFazUVV_07.12.18_MZ119.wav,07/12/2018,Post-playback,201.42,203.43,1.87,6.88,5.01,2.00,4.29,Rural,Eco Fazenda UVV,EF10,S11,340,14.78,58.47
EcoFazUVV_07.12.18_MZ119.wav,07/12/2018,Post-playback,221.47,223.70,1.92,5.34,3.43,2.23,3.66,Rural,Eco Fazenda UVV,EF10,S11,340,14.78,58.47
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Post-playback,188.53,191.14,1.87,7.87,6.00,2.60,4.54,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Post-playback,195.47,197.62,1.74,8.86,7.13,2.15,4.58,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Post-playback,221.55,223.45,1.87,7.01,5.14,1.91,3.96,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Post-playback,263.48,265.75,1.92,7.55,5.64,2.26,4.16,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Post-playback,268.31,270.60,1.96,6.74,4.78,2.28,4.00,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_12.11.18_MZ012.wav,12/11/2018,Post-playback,280.64,282.92,2.01,6.74,4.74,2.29,3.95,Rural,Eco Fazenda UVV,EF08,S1,315,16.60,52.81
EcoFazUVV_19.11.18_MZ052.wav,19/11/2018,Post-playback,261.57,263.43,1.06,6.79,5.73,1.87,3.22,Rural,Eco Fazenda UVV,EF04,S12,322,9.58,50.28
EcoFazUVV_19.11.18_MZ052.wav,19/11/2018,Post-playback,302.85,304.75,1.51,8.68,7.17,1.90,4.35,Rural,Eco Fazenda UVV,EF04,S12,322,9.58,50.28
EcoFazUVV_19.11.18_MZ052.wav,19/11/2018,Post-playback,309.71,311.70,1.65,7.64,6.00,1.98,4.47,Rural,Eco Fazenda UVV,EF04,S12,322,9.58,50.28
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,171.21,173.33,1.69,5.12,3.43,2.12,3.47,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,177.09,179.68,1.60,5.03,3.43,2.59,3.55,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,183.82,186.22,1.60,5.21,3.61,2.40,3.58,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,198.48,201.02,1.60,4.67,3.07,2.54,3.38,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,204.88,207.48,1.69,4.71,3.02,2.60,3.40,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,211.45,213.99,1.65,4.98,3.34,2.54,3.52,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
EcoFazUVV_29.10.18_0325_mono_edited.wav,29/10/2018,Post-playback,241.13,243.64,1.78,4.58,2.80,2.51,3.46,Rural,Eco Fazenda UVV,EF06,S11,301,15.08,48.03
