subject_name,tactic.aggregate,season.year,tactic.season,year.begin,year.end,n.fixes,year.mean,year.max,year.delta,year.mcp.area,mu.daily.disp,subject_sex,subject_ageClass,centroid.dist.meters,tactic.prev,tactic.change
Bonchugu,1,2018,1,2018-04-17,2019-03-31,8281,0.0011,0.0042,0.0042,147028.59,5022.26,female,young adult,0.00,NA,NA
Bonchugu,1,2019,1,2019-04-01,2019-11-16,5484,0.0042,0.0102,0.0102,168091.24,4812.72,female,young adult,0.00,1,0
Chenga,3,2018,2,2018-11-13,2019-03-31,3301,0.0288,0.0398,0.0236,476200.86,5319.93,male,mature adult,9676.80,NA,NA
Chenga,3,2019,3,2019-04-01,2019-11-16,5480,0.0814,0.1204,0.1106,391219.17,5088.55,male,mature adult,2229.10,2,1
Chuma,3,2018,3,2018-04-17,2019-03-31,8315,0.0578,0.1880,0.1852,244979.23,5469.37,male,young adult,0.00,NA,NA
Chuma,3,2019,3,2019-04-01,2019-11-16,5478,0.1488,0.2731,0.2463,196990.22,7066.13,male,young adult,0.00,3,0
Harakati,3,2018,3,2018-11-13,2019-03-31,3300,0.0809,0.2556,0.2236,665594.23,5719.92,male,mature adult,9150.00,NA,NA
Harakati,3,2019,4,2019-04-01,2019-11-16,5483,0.1900,0.3639,0.3574,685920.19,6743.59,male,mature adult,20974.36,3,1
Imara,3,2018,2,2018-04-17,2019-03-31,8296,0.0359,0.0769,0.0769,140847.17,5174.28,male,mature adult,7875.16,NA,NA
Imara,3,2019,3,2019-04-01,2019-11-16,5471,0.1159,0.1500,0.1236,179723.92,6297.14,male,mature adult,2665.11,2,1
Jerahapembe,2,2018,3,2018-11-13,2019-03-31,3312,0.0242,0.1241,0.1241,228403.71,4815.86,male,mature adult,7075.23,NA,NA
Jerahapembe,2,2019,2,2019-04-01,2019-11-16,5488,0.0093,0.0176,0.0176,387630.10,5728.82,male,mature adult,12675.67,3,1
Jinomoja,1,2018,1,2018-11-13,2019-03-31,3303,0.0000,0.0000,0.0000,53148.77,4111.32,female,young adult,14575.06,NA,NA
Jinomoja,1,2019,1,2019-04-01,2019-11-16,5499,0.0000,0.0000,0.0000,52056.01,3486.77,female,young adult,13453.19,1,0
Kawanga,3,2018,3,2018-11-13,2019-03-31,3307,0.0426,0.1611,0.1597,86456.82,4517.07,female,young adult,5100.00,NA,NA
Kawanga,3,2019,3,2019-04-01,2019-11-16,5488,0.1285,0.1722,0.1440,110394.51,4102.63,female,young adult,1636.86,3,0
Kimbizwa,4,2018,4,2018-11-13,2019-03-31,3308,0.1451,0.2801,0.2435,195556.95,6050.79,male,young adult,0.00,NA,NA
Kimbizwa,4,2019,4,2019-04-01,2019-11-16,5457,0.2219,0.2755,0.1685,147654.60,6474.35,male,young adult,0.00,4,0
Kinundu,3,2018,3,2018-04-17,2019-03-31,8301,0.1409,0.3102,0.3097,403947.62,6028.56,male,young adult,60.00,NA,NA
Kinundu,3,2019,3,2019-04-01,2019-11-16,5480,0.0964,0.1421,0.1417,594189.10,6339.29,male,young adult,0.00,3,0
Lowana,4,2018,4,2018-04-17,2019-03-31,8288,0.1660,0.2648,0.1917,550483.55,6134.56,male,mature adult,0.00,NA,NA
Lowana,4,2019,4,2019-04-01,2019-10-25,4945,0.2744,0.3190,0.1926,204811.13,5620.91,male,mature adult,108.17,4,0
Matobo,2,2018,2,2018-04-17,2019-03-31,8340,0.0368,0.1333,0.1333,518283.15,5229.24,male,young adult,15983.58,NA,NA
Matobo,2,2019,2,2019-04-01,2019-11-16,5496,0.0187,0.0481,0.0477,492457.70,4952.25,male,young adult,21370.13,2,0
Mchaichai,3,2018,3,2018-11-13,2019-03-31,3292,0.0662,0.2190,0.2190,137941.28,4158.81,female,young adult,4413.67,NA,NA
Mchaichai,3,2019,3,2019-04-01,2019-11-16,5448,0.1160,0.1815,0.1380,146284.03,4482.52,female,young adult,0.00,3,0
Mchana,2,2019,2,2019-10-07,2019-11-16,970,0.0361,0.0185,0.0023,145939.23,5084.86,female,young adult,15800.69,NA,NA
Mchuri,3,2018,3,2018-04-17,2019-03-31,8302,0.1172,0.2912,0.2912,154790.66,4766.79,female,young adult,2602.92,NA,NA
Mchuri,3,2019,3,2019-04-01,2019-11-16,5485,0.1329,0.2167,0.1690,144084.71,4207.93,female,young adult,30.00,3,0
Meru,3,2018,3,2018-11-13,2019-03-31,3308,0.0589,0.1255,0.0847,33832.50,4091.17,female,mature adult,30.00,NA,NA
Meru,3,2019,3,2019-04-01,2019-11-16,3298,0.1113,0.1449,0.1032,33699.76,4092.33,female,mature adult,0.00,3,0
Mgumu,3,2018,3,2018-11-13,2019-03-31,3303,0.0424,0.1718,0.1694,180471.42,5703.72,male,young adult,6052.72,NA,NA
Mgumu,3,2019,3,2019-04-01,2019-11-16,5475,0.1556,0.3338,0.3153,337327.07,5756.07,male,young adult,0.00,3,0
Mgunga ,2,2018,2,2018-04-17,2019-03-31,8328,0.0198,0.0681,0.0681,93203.80,4611.02,female,young adult,10362.21,NA,NA
Mgunga ,2,2019,3,2019-04-01,2019-11-16,5326,0.0670,0.1486,0.1486,68694.61,4324.33,female,young adult,8824.69,2,1
Mjerumani,3,2018,3,2018-11-13,2019-03-31,3303,0.0466,0.1477,0.1458,183085.77,6093.76,male,young adult,313.21,NA,NA
Mjerumani,3,2019,3,2019-04-01,2019-11-16,5478,0.1281,0.1588,0.1194,122157.80,5580.77,male,young adult,4579.01,3,0
Mkomre,3,2018,3,2018-04-17,2019-03-31,8290,0.0878,0.1731,0.1718,254933.18,5723.68,female,young adult,2658.01,NA,NA
Mkomre,3,2019,4,2019-04-01,2019-11-16,5484,0.1851,0.2981,0.2523,382994.52,5304.70,female,young adult,0.00,3,1
Mkonga,3,2018,3,2018-11-13,2019-03-31,3295,0.0452,0.2245,0.2245,292906.53,5681.40,male,young adult,330.00,NA,NA
Mkonga,3,2019,3,2019-04-01,2019-11-16,5476,0.1200,0.2176,0.2088,311261.42,6457.03,male,young adult,10334.34,3,0
Mtama,3,2018,3,2018-11-13,2019-03-31,3303,0.0633,0.2176,0.2176,108550.39,4385.11,female,young adult,5428.59,NA,NA
Mtama,3,2019,3,2019-04-01,2019-11-16,5493,0.0559,0.1421,0.1421,154591.00,4811.88,female,young adult,13712.66,3,0
Mtembezi,2,2018,2,2018-11-13,2019-03-31,3298,0.0067,0.0435,0.0417,338863.17,6077.49,male,mature adult,21206.97,NA,NA
Mtembezi,2,2019,2,2019-04-01,2019-11-16,5483,0.0175,0.0542,0.0542,276225.89,6282.83,male,mature adult,26969.98,2,0
Radi,3,2018,3,2018-04-17,2019-03-31,8241,0.0762,0.1843,0.1843,457959.18,4874.36,female,mature adult,3570.38,NA,NA
Tai,2,2018,1,2018-11-13,2019-03-31,3300,0.0000,0.0060,0.0060,218102.63,4857.85,female,young adult,15128.00,NA,NA
Tai,2,2019,2,2019-04-01,2019-11-16,5483,0.0272,0.0690,0.0690,337269.61,5064.15,female,young adult,4057.44,1,1
Tarangire,3,2018,4,2018-11-13,2019-03-31,3289,0.0465,0.2662,0.2662,123970.05,5283.26,female,young adult,6886.75,NA,NA
Tarangire,3,2019,3,2019-04-01,2019-11-16,5448,0.0562,0.0917,0.0917,240120.85,5380.94,female,young adult,4230.85,4,1
Tarime,1,2018,1,2018-11-13,2019-03-31,3286,0.0000,0.0005,0.0005,106494.40,5650.00,female,young adult,8535.25,NA,NA
