MotherID,MotherBD,exact,MotherBirthyear,AgeAtCapture,AverageOneYearBodymass,PupID,FirstPupBorn,OffspringSex,SeenSince,SeenUntil,AFR
237,23.09.2002,0,2002,365,25,1307,14.11.2007,1,2006,2007,5
265,06.10.2002,0,2002,365,32.5,2498,26.11.2009,2,2006,2009,7
268,06.10.2002,0,2002,365,34,1699,10.12.2008,2,2006,2008,6
312,02.10.2003,1,2003,396,26.8,1630,12.11.2008,1,2007,2008,5
320,09.09.2003,1,2003,409,26.8,1649,16.11.2008,1,2007,2008,5
327,31.10.2003,1,2003,386,33.8,2503,29.11.2009,1,2007,2009,6
337,31.10.2003,1,2003,377,34.8,1654,16.11.2008,1,2007,2008,5
356,05.10.2003,1,2003,396,25.8,2829,21.09.2010,2,2007,2010,7
384,12.09.2003,0,2003,396.5,28,2979,08.11.2010,1,2007,2010,7
395,14.09.2003,0,2003,365,22.3,3511,04.02.2012,2,2007,2011,8
454,07.09.2004,2,2004,406,36,3267,16.10.2011,2,2008,2011,7
497,11.09.2004,2,2004,391,28,2445,02.11.2009,2,2008,2009,5
500,04.09.2004,2,2004,398,31,2994,11.11.2010,2,2008,2010,6
514,20.09.2004,1,2004,388,35,2318,02.10.2009,2,2008,2009,5
515,21.09.2004,1,2004,384,28,3292,16.10.2011,2,2008,2011,7
519,21.09.2004,1,2004,385,28,3527,14.09.2012,1,2008,2012,8
521,07.10.2004,2,2004,362,31,2489,26.11.2009,1,2008,2009,5
526,18.10.2004,1,2004,355,31,3386,11.11.2011,1,2008,2011,7
527,16.10.2004,1,2004,356,26,3006,16.11.2010,2,2008,2010,6
557,03.10.2004,1,2004,370,26,2419,27.10.2009,2,2008,2009,5
560,03.10.2004,2,2004,368,29,3650,14.10.2012,1,2008,2012,8
586,05.11.2004,2,2004,338,32,2451,02.11.2009,2,2008,2009,5
623,27.09.2005,0,2005,365,16,3668,23.10.2012,2,2009,2012,7
636,05.10.2005,0,2005,365,18.5,3692,03.11.2012,1,2009,2012,7
645,07.10.2005,0,2005,365,19.5,3066,06.01.2011,1,2009,2010,5
647,07.10.2005,0,2005,365,24,3509,01.01.2012,1,2009,2011,6
651,08.10.2005,0,2005,365,28.5,3447,10.01.2012,1,2009,2011,6
658,09.10.2005,0,2005,365,27.5,3466,14.11.2011,1,2009,2011,6
700,28.10.2004,0,2004,354,19.5,3429,30.11.2011,1,2008,2011,7
701,18.11.2004,1,2004,322,19,3472,15.02.2012,2,2008,2011,7
704,07.10.2004,0,2004,365,21,3399,17.11.2011,1,2008,2011,7
713,09.10.2004,0,2004,365,24,1706,14.12.2008,2,2008,2008,4
716,10.10.2004,0,2004,365,28,3082,09.01.2011,1,2008,2010,6
738,17.10.2004,0,2004,365,31,2463,10.11.2009,1,2008,2009,5
742,18.10.2004,0,2004,365,29,3087,10.01.2011,2,2008,2010,6
756,02.10.2005,1,2005,360,28.5,3620,03.10.2012,2,2009,2012,7
760,18.09.2005,2,2005,368,22.5,3719,19.11.2012,2,2009,2012,7
766,11.10.2005,1,2005,351,31,3074,07.01.2011,1,2009,2010,5
791,21.10.2005,1,2005,339,28,3425,30.11.2011,1,2009,2011,6
856,06.11.2005,0,2005,365,27,3037,27.11.2010,2,2009,2010,5
881,31.10.2006,1,2006,406,31,3415,21.11.2011,1,2010,2011,5
989,01.01.2007,0,2006,348,31.4,3752,01.12.2012,1,2011,2012,6
1017,21.03.2006,0,2005,365,28.9,3293,14.10.2011,1,2010,2011,6
1304,11.11.2007,1,2007,324,16.4,3922,25.10.2013,1,2011,2013,6
1631,11.11.2008,1,2008,344,27,3981,21.11.2013,2,2012,2013,5
1649,16.11.2008,1,2008,330,25,4121,01.11.2014,2,2012,2014,6
2425,28.10.2009,1,2009,340,24.4,4236,10.10.2015,1,2013,2015,6
