Pt,Asian badger,Boar,Hog badger,Leopard cat,Masked palm civet,Pere David's rock squirrel,Raccoon dog,Red squirrel,Siberian roe deer,Siberian weasel,Swinhoe's striped squirrel,Tolai hare,Impervious areas,Agricultural land,Water sources,Roads,Altitude,TPI,Day,Season,Vegetation
1,0,0,0,0,0,0,0,1,0,0,0,0,2124.02698,1169.635384,1818.045662,88.83275186,1067,13,47,Autumn,Mixed Broadleaf-Coniferous Forest
3,1,0,0,0,0,0,0,0,0,0,0,0,2173.671169,870.9979056,2499.130388,110.2642633,868,-3.625,47,Autumn,Mixed Broadleaf-Coniferous Forest
4,0,0,0,0,2,0,0,0,0,0,0,1,1913.789372,682.9676695,2131.060813,83.03963211,822,4.875,47,Autumn,Mixed Broadleaf-Coniferous Forest
5,0,0,0,0,0,0,0,0,0,0,0,0,1447.706797,369.6469058,1155.969035,32.68746126,736,4.125,47,Autumn,Deciduous Broadleaf Forest
6,0,0,0,0,0,0,0,7,1,0,0,0,2182.807796,482.8979951,1118.054324,55.59286138,721,-0.375,47,Autumn,Deciduous Broadleaf Forest
7,0,0,0,0,0,0,0,0,0,0,0,0,800.1382476,213.9265622,524.6368176,33.58302192,595,-2.5,47,Autumn,Deciduous Broadleaf Forest
8,0,0,0,0,1,0,3,1,0,1,0,0,854.7417989,347.1412375,321.6963647,38.98888215,491,-5.875,47,Autumn,Deciduous Broadleaf Forest
9,0,0,0,0,0,0,0,0,0,0,0,0,621.5088744,268.206967,340.4319013,410.2102258,459,-3.875,47,Autumn,Deciduous Broadleaf Forest
10,0,0,0,0,0,0,0,0,0,0,0,0,458.8706943,73.67751112,60.82162112,74.69815406,402,0.625,47,Autumn,Mixed Broadleaf-Coniferous Forest
14,2,0,0,0,0,3,0,0,0,0,1,0,133.8386759,74.7532772,187.2798369,46.15861668,265,2.5,47,Autumn,Deciduous Broadleaf Forest
15,4,0,0,0,0,0,0,0,0,0,1,0,769.5369397,212.4167216,1633.596315,45.97617177,302,-4.875,47,Autumn,Deciduous Broadleaf Forest
16,1,0,0,0,0,0,0,2,0,0,0,0,1132.724154,417.3407738,2006.286073,37.26180736,488,-0.625,47,Autumn,Coniferous Forest
18,1,0,0,0,0,3,0,0,0,0,0,0,1513.06679,960.7712888,2105.778003,16.23439405,518,-3,47,Autumn,Deciduous Broadleaf Forest
19,1,0,0,1,0,59,0,2,1,0,2,0,1736.431002,1278.741816,1557.503407,12.9353456,611,-7.875,47,Autumn,Deciduous Broadleaf Forest
