Experimentor,Date,TimeDemo,Chamber,Device,Strain,Treatment,Temp,Humidity,ColourDemo,Colour1Court,Colour2Court,ColourTest,MCS
SN,05/03/2024,09:23,E,13,S,MC,26.3,56,P,P,G,P,1
SN,05/03/2024,13:57,E,2,S,MC,25.1,54,G,P,G,G,1
SN,05/03/2024,14:11,D,3,H,MC,25.2,54,G,G,P,G,1
SN,07/03/2024,09:27,A,12,S,MC,24.8,54,G,G,P,G,1
SN,07/03/2024,10:34,B,2,S,MC,24.9,54,G,G,P,G,1
SN,07/03/2024,10:34,D,3,H,MC,24.9,54,P,G,P,P,1
SN,07/03/2024,10:34,E,5,H,MC,24.9,54,P,P,G,G,0
SN,07/03/2024,10:53,D,13,S,MC,24.9,54,P,G,P,P,1
SN,07/03/2024,13:48,D,4,H,MC,24.8,55,P,P,G,P,1
SN,07/03/2024,13:58,C,13,H,MC,24.8,55,P,G,P,G,0
SN,07/03/2024,13:58,F,6,H,MC,24.8,55,P,P,G,P,1
SN,07/03/2024,15:00,A,16,H,MC,25.1,56,G,G,P,G,1
SN,07/03/2024,15:00,C,15,S,MC,25.1,56,P,P,G,P,1
SN,07/03/2024,15:20,C,13,H,MC,25.2,55,P,G,P,P,1
SN,07/03/2024,15:20,E,3,H,MC,25.2,55,G,G,P,G,1
SN,08/03/2024,09:14,A,12,H,MC,24.6,53,G,P,G,P,0
SN,08/03/2024,09:23,C,6,H,C,24.7,53,P,G,P,P,1
SN,08/03/2024,09:23,E,3,H,MC,24.7,53,G,G,P,G,1
SN,08/03/2024,09:23,F,2,H,MC,24.7,53,G,P,G,P,0
SN,08/03/2024,10:27,B,16,S,C,24.8,53,P,G,P,G,0
SN,08/03/2024,10:27,E,15,H,MC,24.8,53,G,G,P,G,1
SN,08/03/2024,10:38,E,2,H,MC,24.8,53,G,P,G,P,0
SN,08/03/2024,10:38,F,3,S,C,24.8,53,G,P,G,G,1
SN,08/03/2024,13:29,D,6,H,C,24.4,59,G,P,G,G,1
SN,08/03/2024,13:29,E,16,H,MC,24.4,59,P,P,G,G,0
SN,08/03/2024,13:37,C,15,H,MC,24.4,59,G,G,P,G,1
SN,08/03/2024,13:37,F,3,S,MC,24.4,59,G,G,P,G,1
SN,08/03/2024,14:45,B,16,H,MC,24.7,60,G,G,P,G,1
SN,08/03/2024,14:45,C,14,S,C,24.7,60,P,P,G,G,0
SN,08/03/2024,14:45,F,1,H,C,24.7,60,G,G,P,P,0
SN,11/03/2024,09:13,F,13,S,MC,24.4,52,G,G,P,G,1
SN,11/03/2024,09:24,D,5,H,MC,24.5,52,P,G,P,P,1
SN,11/03/2024,11:03,A,1,H,C,23.9,60,P,G,P,G,0
SN,11/03/2024,11:13,B,5,S,MC,23.9,60,P,P,G,P,1
SN,11/03/2024,11:13,D,6,H,MC,23.9,60,P,G,P,P,1
SN,11/03/2024,11:13,E,17,S,C,23.9,60,P,P,G,P,1
SN,11/03/2024,13:40,D,15,S,MC,24.7,57,P,P,G,P,1
SN,11/03/2024,13:40,E,3,S,MC,24.7,57,G,G,P,G,1
SN,11/03/2024,14:55,A,13,S,C,24.8,58,G,P,G,P,0
SN,11/03/2024,14:55,F,15,H,C,24.8,58,G,G,P,G,1
SN,12/03/2024,09:04,A,17,H,MC,24.6,53,P,P,G,P,1
SN,12/03/2024,09:04,B,13,S,C,24.6,53,P,G,P,P,1
SN,12/03/2024,09:15,B,6,H,MC,24.7,53,P,G,P,G,0
SN,12/03/2024,09:15,E,16,H,C,24.7,53,P,G,P,G,0
SN,12/03/2024,12:30,C,3,H,C,25.2,56,P,P,G,G,0
SN,12/03/2024,12:39,C,4,S,C,25.3,56,G,P,G,G,1
SN,12/03/2024,12:39,E,16,S,MC,25.3,56,P,G,P,G,0
SN,12/03/2024,13:44,A,12,S,MC,25,59,P,P,G,G,0
SN,12/03/2024,13:44,E,14,H,C,25,59,P,P,G,P,1
SN,12/03/2024,13:44,F,1,H,C,25,59,P,G,P,G,0
SN,12/03/2024,13:56,B,16,S,MC,24.9,59,P,P,G,P,1
SN,12/03/2024,13:56,D,4,H,MC,24.9,59,G,G,P,P,0
SN,12/03/2024,15:17,C,12,S,C,25.1,60,P,P,G,P,1
SN,14/03/2024,09:39,A,16,S,MC,24.1,61,G,G,P,G,1
SN,14/03/2024,10:25,B,12,S,C,24.7,61,P,G,P,P,1
SN,14/03/2024,10:25,C,13,S,C,24.7,61,P,G,P,G,0
SN,14/03/2024,10:25,E,1,H,C,24.7,61,G,G,P,P,0
SN,14/03/2024,10:47,B,15,H,C,24.6,61,G,P,G,G,1
SN,14/03/2024,10:47,E,6,H,C,24.6,61,P,G,P,G,0
SN,15/03/2024,08:49,E,12,S,MC,24.5,58,G,G,P,G,1
SN,15/03/2024,09:01,B,5,H,C,24.6,58,G,G,P,P,0
SN,15/03/2024,09:01,D,15,S,C,24.6,58,P,G,P,G,0
SN,15/03/2024,10:04,A,17,S,MC,24.7,58,P,G,P,P,1
SN,15/03/2024,10:04,D,4,H,MC,24.7,58,G,G,P,G,1
SN,15/03/2024,10:17,B,5,S,C,24.7,58,G,G,P,G,1
SN,15/03/2024,14:10,D,14,S,MC,24.9,61,G,P,G,P,0
SN,15/03/2024,14:39,F,17,H,C,24.8,61,G,P,G,P,0
SN,19/03/2024,09:52,A,16,S,MC,24.3,57,P,P,G,G,0
SN,19/03/2024,09:52,B,4,S,MC,24.3,57,P,P,G,G,0
SN,19/03/2024,10:12,F,2,S,C,24.2,57,P,G,P,P,1
SN,19/03/2024,11:02,B,6,S,C,24.3,56,P,G,P,G,0
SN,19/03/2024,13:35,A,13,H,MC,24.4,57,G,G,P,G,1
SN,05/04/2024,08:57,A,6,H,C,24.3,57,P,G,P,P,1
SN,05/04/2024,08:57,E,13,S,C,24.3,57,G,G,P,P,0
SN,05/04/2024,09:13,A,3,S,MC,24.5,58,G,P,G,G,1
SN,05/04/2024,09:13,D,4,S,C,24.5,58,P,P,G,G,0
SN,05/04/2024,09:13,F,17,H,C,24.5,58,P,P,G,P,1
SN,05/04/2024,10:15,A,13,S,C,24.4,60,G,P,G,G,1
SN,05/04/2024,10:15,D,16,S,MC,24.4,60,G,P,G,P,0
SN,05/04/2024,10:15,F,5,H,C,24.4,60,G,P,G,G,1
SN,05/04/2024,10:38,C,2,H,MC,24.6,60,G,P,G,P,0
SN,05/04/2024,10:38,E,14,H,MC,24.6,60,G,G,P,G,1
SN,05/04/2024,14:02,B,2,S,MC,24.5,62,P,P,G,P,1
SN,05/04/2024,14:02,E,13,H,C,24.5,62,P,G,P,G,0
SN,05/04/2024,15:00,B,14,S,C,24.3,64,P,G,P,G,0
SN,05/04/2024,15:14,B,17,H,MC,24.3,64,G,G,P,G,1
SN,10/04/2024,10:38,B,4,H,C,24.1,56,G,P,G,P,0
SN,10/04/2024,10:54,B,14,S,C,24,56,P,G,P,G,0
SN,15/04/2024,09:04,C,6,H,C,24.3,55,G,G,P,G,1
SN,15/04/2024,09:15,D,14,H,C,24.4,55,P,G,P,G,0
SN,15/04/2024,13:30,A,15,S,MC,24.6,55,P,G,P,P,1
SN,15/04/2024,13:30,F,1,S,C,24.6,55,P,G,P,G,0
SN,15/04/2024,13:41,A,3,H,C,24.7,55,P,P,G,G,0
SN,15/04/2024,13:41,D,14,H,MC,24.7,55,G,P,G,P,0
SN,15/04/2024,14:41,B,17,H,C,24.8,56,P,P,G,G,0
SN,15/04/2024,14:41,F,16,H,MC,24.8,56,P,G,P,P,1
SN,16/04/2024,10:31,A,1,S,C,24.2,51,P,G,P,G,0
SN,16/04/2024,10:31,E,17,H,MC,24.2,51,P,G,P,P,1
SN,16/04/2024,13:30,B,15,S,MC,25.1,52,G,G,P,G,1
SN,16/04/2024,13:41,A,6,S,MC,25.2,52,P,P,G,G,0
SN,16/04/2024,13:41,D,3,H,C,25.2,52,G,P,G,P,0
SN,16/04/2024,14:34,B,1,S,MC,25.2,54,P,G,P,P,1
SN,16/04/2024,14:34,C,4,S,C,25.2,54,P,P,G,G,0
SN,16/04/2024,14:34,E,5,S,MC,25.2,54,G,P,G,G,1
SN,16/04/2024,14:50,C,3,S,MC,25.2,53,G,P,G,G,1
SN,16/04/2024,14:50,E,15,S,C,25.2,53,G,G,P,G,1
SN,17/04/2024,08:38,A,12,S,C,24.1,47,G,P,G,G,1
SN,17/04/2024,08:38,F,4,S,MC,24.1,47,P,P,G,P,1
SN,17/04/2024,08:50,B,3,S,MC,24.2,48,G,G,P,G,1
SN,17/04/2024,08:50,D,15,S,MC,24.2,48,G,G,P,P,0
SN,17/04/2024,08:50,E,14,S,C,24.2,48,P,G,P,P,1
SN,18/04/2024,09:07,D,1,H,MC,24.1,48,G,G,P,G,1
SN,18/04/2024,09:17,A,6,H,C,24.2,49,P,P,G,P,1
SN,18/04/2024,09:17,D,3,S,C,24.2,49,G,G,P,G,1
SN,18/04/2024,10:18,B,4,S,MC,24.1,55,P,P,G,P,1
SN,18/04/2024,10:18,C,12,H,C,24.1,55,P,P,G,P,1
SN,18/04/2024,13:25,E,17,H,MC,24.1,57,P,P,G,P,1
SN,18/04/2024,13:41,B,3,H,MC,24.2,58,G,P,G,G,1
SN,18/04/2024,13:41,D,16,H,C,24.2,58,G,P,G,P,0
SN,18/04/2024,14:38,D,13,S,MC,24.2,55,G,G,P,P,0
SN,19/04/2024,09:08,F,15,S,C,23.9,44,G,G,P,G,1
SN,19/04/2024,09:20,C,16,S,C,23.9,44,P,P,G,P,1
SN,19/04/2024,09:20,F,5,H,MC,23.9,44,P,G,P,P,1
SN,19/04/2024,10:35,D,3,S,MC,24,45,P,P,G,P,1
SN,22/04/2024,09:14,A,4,H,C,23.8,46,G,P,G,G,1
SN,22/04/2024,09:14,C,2,S,MC,23.8,46,P,P,G,G,0
SN,22/04/2024,09:27,C,5,H,MC,23.9,50,P,P,G,P,1
SN,22/04/2024,13:10,B,2,H,MC,23.9,54,G,G,P,G,1
SN,22/04/2024,13:10,D,12,H,MC,23.9,54,G,G,P,G,1
SN,22/04/2024,13:10,E,16,S,C,23.9,54,G,G,P,G,1
SN,22/04/2024,13:23,A,13,H,MC,23.9,55,G,G,P,P,0
SN,22/04/2024,13:23,B,15,S,C,23.9,55,G,P,G,P,0
SN,22/04/2024,13:23,C,5,H,MC,23.9,55,G,G,P,G,1
SN,22/04/2024,14:31,C,17,S,C,23.9,56,P,P,G,P,1
SN,22/04/2024,14:31,F,6,H,C,23.9,56,G,P,G,P,0
SN,22/04/2024,14:43,A,13,H,C,23.9,56,P,G,P,G,0
SN,22/04/2024,14:43,B,5,H,MC,23.9,56,G,G,P,G,1
SN,22/04/2024,14:43,E,15,H,MC,23.9,56,G,G,P,G,1
SN,22/04/2024,14:43,F,1,S,MC,23.9,56,G,G,P,G,1
SN,23/04/2024,09:21,B,17,S,MC,23.8,52,P,P,G,G,0
SN,23/04/2024,10:23,C,16,S,C,23.8,54,G,G,P,P,0
SN,23/04/2024,10:23,E,5,S,MC,23.8,54,P,P,G,P,1
SN,23/04/2024,10:42,A,14,S,MC,23.8,54,P,P,G,P,1
SN,23/04/2024,13:36,A,15,H,MC,24,54,P,P,G,G,0
SN,23/04/2024,13:36,C,4,H,C,24,54,G,G,P,P,0
SN,23/04/2024,13:47,B,16,H,C,23.9,55,G,G,P,G,1
SN,23/04/2024,14:57,D,6,H,C,23.9,56,P,P,G,G,0
SN,23/04/2024,14:57,E,2,H,MC,23.9,56,G,P,G,G,1
SN,24/04/2024,09:03,A,4,S,C,23.4,45,G,P,G,P,0
SN,24/04/2024,09:03,B,6,S,C,23.4,45,G,G,P,G,1
SN,24/04/2024,09:13,E,12,S,C,23.5,47,P,P,G,P,1
SN,24/04/2024,10:20,C,17,H,C,23.7,52,P,G,P,P,1
SN,24/04/2024,10:30,C,12,H,C,23.7,52,G,G,P,G,1
SN,24/04/2024,10:30,D,4,S,C,23.7,52,G,G,P,G,1
SN,24/04/2024,10:30,E,6,S,C,23.7,52,P,G,P,G,0
SN,25/04/2024,08:50,B,5,H,MC,23.4,45,P,P,G,P,1
SN,25/04/2024,09:04,E,17,H,C,23.6,47,G,P,G,G,1
SN,25/04/2024,10:10,E,3,S,C,23.7,52,G,P,G,P,0
SN,25/04/2024,10:29,E,14,S,MC,23.9,53,P,P,G,G,0
SN,25/04/2024,10:29,F,12,S,C,23.9,53,P,G,P,P,1
SN,25/04/2024,12:55,E,13,H,C,23.8,55,G,G,P,P,0
SN,25/04/2024,13:05,A,1,H,C,23.8,55,P,G,P,G,0
SN,25/04/2024,13:05,D,2,H,MC,23.8,55,G,P,G,G,1
SN,25/04/2024,14:14,A,3,H,C,23.9,57,G,G,P,P,0
SN,25/04/2024,14:14,C,12,H,C,23.9,57,P,P,G,P,1
SN,25/04/2024,14:14,F,15,S,MC,23.9,57,G,G,P,G,1
SN,25/04/2024,14:27,C,17,S,C,23.9,57,G,P,G,P,0
SN,25/04/2024,14:27,E,5,H,C,23.9,57,P,G,P,G,0
SN,26/04/2024,09:15,A,6,H,C,23.8,58,G,G,P,G,1
SN,26/04/2024,09:15,B,12,H,MC,23.8,58,P,P,G,G,0
SN,26/04/2024,09:27,B,13,S,C,23.8,59,P,G,P,G,0
SN,26/04/2024,09:27,E,14,H,MC,23.8,59,P,P,G,P,1
SN,26/04/2024,10:40,E,4,S,MC,23.8,60,P,P,G,P,1
SN,26/04/2024,13:10,B,12,H,MC,24.10,53,P,P,G,P,1
SN,26/04/2024,13:10,C,2,H,C,24.10,53,P,G,P,P,1
SN,26/04/2024,13:10,F,15,S,C,24.10,53,P,P,G,G,0
SN,26/04/2024,13:20,E,3,H,C,24.1,53,P,P,G,G,0
SN,26/04/2024,14:37,C,13,H,C,24.2,55,G,P,G,P,0
SN,26/04/2024,14:37,D,14,S,MC,24.2,55,P,G,P,G,0
SN,26/04/2024,14:50,C,15,H,C,24.1,55,G,P,G,G,1
SN,26/04/2024,14:50,E,2,S,C,24.1,55,G,G,P,P,0
SN,10/06/2024,09:15,B,1,S,C,24.1,49,G,G,P,P,0
SN,10/06/2024,09:15,E,12,H,MC,24.1,49,P,P,G,P,1
SN,10/06/2024,09:26,A,6,S,MC,24.3,49,G,G,P,G,1
SN,10/06/2024,09:26,E,16,H,C,24.3,49,G,P,G,G,1
SN,10/06/2024,10:34,C,13,H,C,24.8,53,P,G,P,P,1
SN,10/06/2024,10:34,F,3,S,C,24.8,53,G,G,P,P,0
SN,10/06/2024,10:49,C,16,S,MC,24.9,53,P,P,G,P,1
SN,11/06/2024,09:12,A,13,H,MC,24.4,55,P,P,G,P,1
SN,11/06/2024,09:12,D,12,S,C,24.4,55,P,G,P,P,1
SN,11/06/2024,09:12,F,6,H,C,24.4,55,P,P,G,P,1
SN,11/06/2024,09:24,B,1,H,C,24.6,55,P,G,P,p,1
SN,11/06/2024,10:42,D,2,S,MC,25,54,P,G,P,G,0
SN,17/06/2024,09:00,A,5,S,MC,24.3,55,G,G,P,P,0
SN,17/06/2024,09:00,E,1,H,C,24.3,55,P,G,P,P,1
SN,17/06/2024,09:00,F,2,H,MC,24.3,55,P,P,G,P,1
SN,17/06/2024,09:13,A,3,H,MC,24.6,55,G,G,P,G,1
SN,17/06/2024,10:19,A,5,S,C,25.2,57,G,P,G,P,0
SN,17/06/2024,10:19,D,16,S,MC,25.2,57,G,P,G,G,1
SN,17/06/2024,10:36,C,14,S,C,25.3,58,G,P,G,P,0
SN,17/06/2024,10:36,F,17,S,MC,25.3,58,P,G,P,P,1
SN,19/06/2024,09:08,B,13,H,C,25.3,62,P,P,G,G,0
SN,19/06/2024,09:08,C,6,S,C,25.3,62,G,P,G,P,0
SN,19/06/2024,10:13,D,16,H,C,25.7,61,G,P,G,P,0
SN,19/06/2024,10:36,A,12,H,C,25.7,60,P,G,P,P,1
SN,19/06/2024,13:22,C,5,S,MC,25.8,60,P,G,P,G,0
SN,19/06/2024,13:22,D,1,H,C,25.8,60,P,G,P,P,1
SN,19/06/2024,13:22,E,16,S,C,25.8,60,G,P,G,G,1
SN,19/06/2024,13:33,C,6,H,C,25.8,60,G,G,P,G,1
SN,19/06/2024,13:33,F,2,H,MC,25.8,60,G,P,G,P,0
SN,19/06/2024,14:35,A,13,S,MC,25.8,61,P,G,P,G,0
SN,20/06/2024,09:15,C,1,H,MC,24.6,59,P,G,P,G,0
SN,20/06/2024,10:18,D,14,S,MC,25.3,60,P,P,G,P,1
SN,20/06/2024,10:34,C,3,H,C,25.3,60,P,P,G,G,0
SN,20/06/2024,10:34,E,1,H,MC,25.3,60,G,P,G,G,1
SN,24/06/2024,09:15,B,12,S,MC,24.7,59,P,G,P,G,0
SN,24/06/2024,09:25,A,6,H,MC,24.9,59,G,G,P,G,1
SN,24/06/2024,09:25,B,3,S,MC,24.9,59,G,P,G,G,1
SN,24/06/2024,09:25,E,1,H,C,24.9,59,G,P,G,P,0
SN,24/06/2024,10:36,D,16,H,MC,25.2,60,G,P,G,P,0
SN,24/06/2024,10:36,E,6,H,C,25.2,60,P,P,G,P,1
SN,02/07/2024,09:04,B,15,S,C,23.8,64,G,G,P,G,1
SN,02/07/2024,09:04,E,4,S,C,23.8,64,G,P,G,P,0
SN,02/07/2024,09:04,F,3,S,C,23.8,64,G,P,G,G,1
