family,binomial_name,common_name,endocranial_volume,brain_mass,ocw_mm,body_mass
Bovidae,Addax_nasomaculatus,Addax,206.400,185.000,66.910,138.889
Bovidae,Syncerus_cafer,African Buffalo,605.000,477.936,NA,750.000
Iniidae,Inia_geoffrensis,Amazon_River_Dolphin,627.800,494.725,81.500,260.908
Bovidae,Ovis_ammon,Argali,144.200,140.000,68.830,151.939
Suidae,Babyrousa_babyrussa,babirusa,127.000,111.336,NA,78.000
Camelidae,Camelus_bactrianus,Bactrian_Camel,626.750,575.000,79.780,241.993
Ziphiidae,Berardius_bairdii,Baird's_Beaked_Whale,NA,5284.620,NA,9972.950
Bovidae,Amotragus_lervia,Barbary_Sheep,210.000,178.026,NA,45.000
Bovidae,Cephalophus_dorsalis,Bay_Duiker,NA,92.897,34.910,16.591
Monodontidae,Delphinapterus_leucas,Beluga,NA,2081.397,125.000,544.127
Bovidae,Connochaetes_taurinus,blue wildebeest,360.000,294.411,NA,70.000
Balaenopteridae,Balaenoptera_musculus,Blue_Whale,NA,6716.000,NA,109544.000
Bovidae,Tragelaphus_eurycerus,Bongo,402.700,389.000,96.550,438.217
Balaenidae,Balaena_mysticetus,Bowhead,8900.000,2980.000,275.000,40987.000
Bovidae,Raphiceros_melanotis,cape grysbok,55.000,52.698,NA,10.100
Cervidae,Rangifer_tarandus,Caribou/Reindeer,307.125,253.845,NA,193.518
Tayussidae,Catagonus_wagneri,Chacoan_Peccary,NA,114.100,42.860,32.851
Bovidae,Rupicapra_rupicapra,chamois,160.000,138.122,NA,58.500
Tyussuidae,Pecari_tajacu,Collared_Peccary,NA,101.500,39.030,25.944
Bovidae,Sylvicapra_grimmia,common duiker,76.000,68.948,NA,5.650
Delphinidae,Tursiops_truncatus,Common_Bottlenose_Dolphin,1759.200,1294.225,109.800,274.067
Delphinidae,Delphinus_delphis,Common_Dolphin,814.300,630.655,83.600,96.894
Ziphiidae,Ziphius_cavirostris,Cuviers_beaked_Whale,2004.000,1461.565,NA,3300.122
Phocoenidae,Phocoenoides_dalli,Dall's_Porpoise,861.400,664.636,80.964,85.748
Bovidae,Kobus_defassa,Defassa waterbuck,313.000,258.374,NA,105.000
Bovidae,Bos_taurus,Domestic_Cattle,610.000,497.446,113.280,716.044
Bovidae,Gazella_dorcas,dorcas gazelle,66.000,60.442,NA,58.000
Kogiidae,Kogia_simus,Dwarf_Sperm_Whale,NA,632.500,76.000,209.580
Bovidae,Oryx_beisa,East African oryx,280.000,232.857,NA,162.500
Bovidae,Bison_bonasus,European_Bison,NA,707.100,124.700,959.307
Cervidae,Dama_dama,fallow deer,215.000,181.979,NA,56.000
Balaenopteridae,Balaenoptera_physalus,Fin_Whale,NA,6776.000,298.400,39082.000
Bovidae,Oryx_gazella,Gemsbok,306.320,292.000,67.530,143.019
Bovidae,Litocranius_walleri,Gerenuk,139.500,117.500,45.690,40.541
Suidae,Hylochoerus_meinertzhageni,giant forest hog,140.000,121.938,NA,200.000
Giraffidae,Giraffa_camelopardalis,Giraffe,786.500,629.100,110.360,661.084
Bovidae,Capra_hircus,Goat,137.958,120.277,54.710,74.789
Bovidae,Gazella_granti,Grant's gazelle,158.000,136.510,NA,19.600
Eschrictiidae,Eschrichtius_robustus,Gray_Whale,NA,4319.000,265.000,20651.000
Tragulidae,Tragulus_napu,Greater_Mouse-deer,NA,18.500,21.060,2.907
Camelidae,Lama_guanacoe,Guanaco,261.200,243.000,48.190,48.262
Phocoenidae,Phocoena_phocoena,Harbor_Porpoise,NA,506.000,70.677,51.068
Bovidae,Alcelaphus_buselaphus,hartebeest,294.000,243.706,NA,165.000
Bovidae,Hemitragus_jemlahicus,Himalayan tahr,166.000,142.950,NA,76.000
Hippopotamidae,Hippopotamus_amphibius,Hippopotamus,NA,590.000,NA,1955.000
Balaenopteridae,Megaptera_novaeangliae,Humpback,NA,5869.250,293.000,36552.000
Bovidae,Aepyceros_melampus,Impala,188.650,161.075,50.120,54.853
Bovidae,Antilope_cervicapra,Indian_Antelope,110.900,98.105,45.500,39.990
Tragulidae,Tragulus_javanicus,Java_Mouse-deer,15.000,15.164,21.860,3.316
Bovidae,Madoqua_kirki,Kirk's dik-dik,34.000,33.644,NA,4.550
Bovidae,Oreotragus_oreotragus,Klipspringer,60.000,55.298,NA,13.000
Bovidae,Kobus_kob,Kob,206.500,175.256,55.870,77.981
Bovidae,Sigmoceros_lichtensteinii,Lichtenstein's hartebeest,357.000,292.121,NA,160.100
Delphinidae,Peponocephala_electra,Melon-headed_Whale,NA,1418.000,108.000,630.643
Cervidae,Alces_alces,Moose,498.380,436.000,90.730,361.453
Cervidae,Odocoileus_hemionus,Mule_Deer,243.200,189.300,50.570,56.471
Bovidae,Ovibos_moschatus,Musk_Ox,NA,411.579,108.880,634.308
Bovidae,Boselaphus_tragocamelus,Nilgai,NA,271.750,62.600,112.339
Balaenidae,Eubalaena_glacialis,North_Atlantic_Right_Whale,NA,2998.888,464.000,73349.000
Ziphiidae,Hyperoodon_ampullatus,Northern_Bottlenose_Whale,NA,2720.000,252.000,6515.409
Giraffidae,Okapia_okapi,oakpi,501.000,400.789,NA,240.000
Delphinidae,Orcinus_orca,Orca,5028.000,6524.000,213.000,3431.151
Bovidae,Ourebia_ourebi,Oribi,57.000,52.713,NA,15.000
Antilocapridae,Antilocapra_americana,Pronghorn,162.533,140.162,NA,38.075
Cervidae,Pudu_puda,Pudu,67.800,61.979,28.480,8.314
Balaenopteridae,Balaenoptera_musculus_brevicauda,Pygmy_Blue_Whale,NA,6716.000,365.000,28693.804
Hippopotamidae,Choeropsis_liberiensis,Pygmy_Hippo,241.800,203.066,83.730,281.495
Delphinidae,Feresa_attenuata,Pygmy_Killer_Whale,NA,1144.250,94.077,152.007
Kogiidae,Kogia_breviceps,Pygmy_Sperm_Whale,1011.500,931.540,114.000,326.260
Cervidae,Mazama_americana,Red_Broket,NA,56.000,33.700,14.733
Suidae,Potamochoerus_porcus,Red_River_Hog,138.000,120.311,49.150,51.470
Delphinidae,Grampus_griseus,Risso's_Dolphin,NA,2131.750,NA,2131.750
Cervidae,Capreolus_capreolus,roe deer,100.000,89.075,NA,200.000
Bovidae,Neotragus_pygmaeus,Royal_Antelope,NA,32.000,19.230,2.104
Bovidae,Hippotragus_niger,Sable_Antelope,338.000,282.000,80.540,249.290
Bovidae,Oryx_dammah,Scimitar_Oryx,NA,239.847,61.650,106.979
Balaenopteridae,Balaenoptera_borealis,Sei_Whale,NA,4935.000,300.000,28968.000
Bovidae,Ovis_aries,Sheep,NA,125.000,46.800,40.971
Delphinidae,Glbiocephala_macrorhynchus,Short-finned_Pilot_Whale,NA,2679.210,NA,900.770
Cervidae,Cervus_nippon,Sika_Deer,258.200,201.000,49.790,53.686
Cervidae,Muntiacus_muntjak,Southern_Red_Muntjac,123.250,124.500,36.420,19.123
Bovidae,Redunca_arundinum,Southern_Reedbuck,160.300,136.800,48.270,48.524
Bovidae,Antidorcas_marsupialis,Springbok,135.000,117.868,NA,24.100
Bovidae,Raphicerus_campestris,Steenbok,NA,51.300,27.280,7.171
Bovidae,Raphiceros_campestris,steenbok,49.000,47.314,NA,10.900
Bovidae,Gazella_thomsoni,Thomson's gazelle,88.000,79.057,NA,35.800
Bovidae,Damaliscus_lunatus,topi,286.000,237.511,NA,153.800
