Samples,Dates Setup,Date Event,Time,Species,Behaviour,Days2
FRE8,18/05/2022,27/05/2022,05:19:00,Badger,Visit,8.5
FRE42,03/10/2022,19/10/2022,02:58:00,Badger,Visit,15.5
FRE9,06/06/2022,07/06/2022,13:25:00,Common buzzard,Visit,1
FRE9,06/06/2022,09/06/2022,15:52:00,Common buzzard,Visit,3
FRE9,06/06/2022,09/06/2022,19:36:00,Common buzzard,Feeding,3.5
FRE9,06/06/2022,10/06/2022,05:40:00,Common buzzard,Feeding,3.5
FRE9,06/06/2022,10/06/2022,14:04:00,Common buzzard,Feeding,4
FRE9,06/06/2022,10/06/2022,17:19:00,Common buzzard,Feeding,4
FRE9,06/06/2022,11/06/2022,05:14:00,Common buzzard,Visit,4.5
FRE9,06/06/2022,11/06/2022,06:22:00,Common buzzard,Feeding,4.5
FRE9,06/06/2022,11/06/2022,17:55:00,Common buzzard,Feeding,5
FRE9,06/06/2022,11/06/2022,18:50:00,Common buzzard,Feeding,5
FRE9,06/06/2022,12/06/2022,15:45:00,Common buzzard,Feeding,6
FRE9,06/06/2022,12/06/2022,19:01:00,Common buzzard,Feeding,6.5
FRE9,06/06/2022,15/06/2022,20:44:00,Common buzzard,Feeding,9.5
FRE10,06/06/2022,14/06/2022,19:25:00,Common buzzard,Feeding,8.5
FRE11,06/06/2022,07/06/2022,14:56:00,Common buzzard,Feeding,1
FRE11,06/06/2022,07/06/2022,16:52:00,Common buzzard,Feeding,1
FRE11,06/06/2022,08/06/2022,15:17:00,Common buzzard,Feeding,2
FRE14,06/06/2022,08/06/2022,15:00:00,Common buzzard,Feeding,2
FRE14,06/06/2022,08/06/2022,15:42:00,Common buzzard,Feeding,2
FRE22,08/07/2022,11/07/2022,13:24:00,Common buzzard,Feeding,3
FRE22,08/07/2022,11/07/2022,19:42:00,Common buzzard,Feeding,3.5
FRE22,08/07/2022,12/07/2022,11:18:00,Common buzzard,Feeding,4
FRE22,08/07/2022,13/07/2022,14:00:00,Common buzzard,Feeding,5
